group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
26,4,0.0477193,True,62,4751,28254,33,TT2,j30,LBMAX_DP,5390,0,0
26,5,0.109844,True,74,21930,72729,33,TT2,j30,LBMAX_DP,28652,6502,0
26,6,0.010275,True,53,1338,5905,33,TT2,j30,LBMAX_DP,1550,65,0
26,7,0.00285768,True,56,235,1450,33,TT2,j30,LBMAX_DP,23,0,0
26,8,0.0218139,True,66,3401,13676,33,TT2,j30,LBMAX_DP,3568,382,0
26,9,0.0442999,True,43,5345,24660,33,TT2,j30,LBMAX_DP,3745,658,0
26,10,0.155677,True,49,21447,92299,33,TT2,j30,LBMAX_DP,20056,5475,0
27,1,0.000892411,True,43,98,408,33,TT2,j30,LBMAX_DP,0,0,0
27,2,0.000693281,True,58,73,311,33,TT2,j30,LBMAX_DP,1,0,0
27,3,0.000349143,True,60,37,143,33,TT2,j30,LBMAX_DP,0,0,0
27,4,0.00611363,True,64,1001,3979,33,TT2,j30,LBMAX_DP,646,0,0
27,5,0.00213474,True,49,220,1049,33,TT2,j30,LBMAX_DP,44,0,0
27,6,0.00104313,True,59,118,536,33,TT2,j30,LBMAX_DP,8,0,0
27,7,0.0260319,True,49,3947,15155,33,TT2,j30,LBMAX_DP,3191,873,0
27,8,0.000664989,True,66,76,308,33,TT2,j30,LBMAX_DP,1,0,0
27,9,0.007805,True,55,1190,4457,33,TT2,j30,LBMAX_DP,777,0,0
27,10,0.000367719,True,62,35,159,33,TT2,j30,LBMAX_DP,0,0,0
28,1,0.000756795,True,69,95,374,33,TT2,j30,LBMAX_DP,30,0,0
28,2,0.000406041,True,57,37,170,33,TT2,j30,LBMAX_DP,1,0,0
28,3,0.115808,True,40,14703,70807,33,TT2,j30,LBMAX_DP,10986,51,0
28,4,0.000443222,True,49,47,190,33,TT2,j30,LBMAX_DP,0,0,0
28,5,0.00032056,True,73,33,128,33,TT2,j30,LBMAX_DP,0,0,0
28,6,0.0158895,True,55,2280,9564,33,TT2,j30,LBMAX_DP,1441,0,0
28,7,0.000340485,True,48,34,138,33,TT2,j30,LBMAX_DP,0,0,0
28,8,0.000369069,True,53,35,153,33,TT2,j30,LBMAX_DP,0,0,0
28,9,0.0249008,True,62,3350,13832,33,TT2,j30,LBMAX_DP,2172,0,0
28,10,0.000398117,True,59,39,165,33,TT2,j30,LBMAX_DP,0,0,0
29,1,0.886583,True,85,104595,424236,33,TT2,j30,LBMAX_DP,129621,16239,0
29,2,0.506515,True,90,70267,296052,33,TT2,j30,LBMAX_DP,95501,7968,0
29,3,0.469912,True,78,64309,288162,33,TT2,j30,LBMAX_DP,60532,5164,0
29,4,0.252896,True,103,40791,149681,33,TT2,j30,LBMAX_DP,43944,3964,0
29,5,0.209766,True,98,33526,136326,33,TT2,j30,LBMAX_DP,41759,2809,0
29,6,0.418162,True,92,61090,228619,33,TT2,j30,LBMAX_DP,72113,6391,0
29,7,0.243056,True,73,38488,140998,33,TT2,j30,LBMAX_DP,45676,4459,0
29,8,3.38644,True,80,294518,1383980,33,TT2,j30,LBMAX_DP,527085,32834,0
29,9,0.379927,True,97,56416,213524,33,TT2,j30,LBMAX_DP,63846,7408,0
29,10,0.0506328,True,76,9790,35550,33,TT2,j30,LBMAX_DP,13690,865,0
30,1,0.224379,True,47,25142,104751,33,TT2,j30,LBMAX_DP,35416,2213,0
30,2,0.228727,True,68,34140,121706,33,TT2,j30,LBMAX_DP,29228,6915,0
30,3,0.128464,True,55,18510,75963,33,TT2,j30,LBMAX_DP,18141,2284,0
30,4,0.0896368,True,53,12738,44748,33,TT2,j30,LBMAX_DP,13552,2986,0
30,5,0.115605,True,54,15109,55894,33,TT2,j30,LBMAX_DP,9340,3194,0
30,6,0.0388667,True,62,7330,23248,33,TT2,j30,LBMAX_DP,6938,1737,0
